Advertisement,Advertisement No,Advertisement Date,Location,Price,Gross Area,Net Area,Age,Room,Floor,Heating,Furnished,House URL
Özgürlük Parkı na 250m mesafe bahçe kullanımlı 2 oda salon,Portföy No: P28744717,02-13-2025,İstanbul Anadolu / Kadıköy/ Göztepe Mah.,4.750.000 ₺,120,85,30+,2+1,Bahçe Katı,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P28744717
KADIKÖY ZİVERBEY MİNİBÜS CADDESİNE YAKIN 3+1 SATILIK DAİRE,Portföy No: P45300270,02-13-2025,İstanbul Anadolu / Kadıköy/ Eğitim Mah.,5.450.000 ₺,110,100,30+,3+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P45300270
KADIKÖY FİKİRTEPE DE 2+1 TERASLI SATILIK DAİRE,Portföy No: P67444815,02-13-2025,İstanbul Anadolu / Kadıköy/ Fikirtepe Mah.,13.750.000 ₺,190,120,6,2+1,8,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P67444815
Deniz ve Adalar Manzaralı Genç Binada 4+1  Satılık Dubleks,Portföy No: P50672840,02-13-2025,İstanbul Anadolu / Maltepe/ Cevizli Mah.,8.300.000 ₺,140,127,9,4+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P50672840
E-5 MALTEPE PAMİLİA SİTESİ ARA KAT SATILIK 2+1 DAİRE,Portföy No: P77356024,02-13-2025,İstanbul Anadolu / Maltepe/ Aydınevler Mah.,3.600.000 ₺,85,75,2,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P77356024
Ümraniye İstiklal Mahallesi Butik Site İçi Satılık 2 + 1 Daire,Portföy No: P32074513,02-13-2025,İstanbul Anadolu / Ümraniye/ İstiklal Mah.,4.950.000 ₺,85,65,0,2+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P32074513
Sancaktepe Abdurrahmangazi Mahallesi Satılık 2+1 Ara Kat Daire,Portföy No: P02056723,02-13-2025,İstanbul Anadolu / Sancaktepe/ Abdurrahmangazi Mah.,2.950.000 ₺,65,56,10-15,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P02056723
ALTUNİZADE'DE METROYA YÜRÜME MESAFESİNDE-BOŞ- 3+1 SATILIK DAİRE,Portföy No: P40110313,02-13-2025,İstanbul Anadolu / Üsküdar/ Barbaros Mah.,6.000.000 ₺,125,95,30+,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P40110313
TAŞDELEN TUNA KONAKLARINDA ARA KAT SATILIK 3+1 LÜKS DAİRE,Portföy No: P42748684,02-13-2025,İstanbul Anadolu / Çekmeköy/ Sultançiftliği Mah.,9.300.000 ₺,180,135,10-15,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P42748684
10 yılda amorti edecek sıfır binada 2+1 dubleks,Portföy No: P51777033,02-13-2025,İstanbul Anadolu / Kadıköy/ Osmanağa Mah.,11.900.000 ₺,180,140,1,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P51777033
ATAŞEHİR KÜÇÜKBAKKALKÖY ARA KAT KAPALI MUTFAK SATILIK 3+1 DAİRE,Portföy No: P25181821,02-13-2025,İstanbul Anadolu / Ataşehir/ Küçükbakkalköy Mah.,5.495.000 ₺,120,92,16-20,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P25181821
MALTEPE BAĞDAT CADDESİ ARA KAT SATILIK 3+1 FIRSAT DAİRE,Portföy No: P05332738,02-13-2025,İstanbul Anadolu / Maltepe/ Cevizli Mah.,5.345.000 ₺,117,90,16-20,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P05332738
"BOŞ, KADIKÖY MERDİVENKÖY KAT MÜLKİYETLİ 8. KAT SATILIK 3+1 DAİRE",Portföy No: P84636453,02-13-2025,İstanbul Anadolu / Kadıköy/ Merdivenköy Mah.,8.400.000 ₺,98,77,5,3+1,8,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P84636453
BAĞDAT CADDESİ 'NİN EN GÜZEL DUBLEKSİ ŞİMDİ SATIŞTA,Portföy No: P38318555,02-13-2025,İstanbul Anadolu / Kadıköy/ Caddebostan Mah.,38.500.000 ₺,260,195,8,4+2,9,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P38318555
FINDIKLI MERKEZ CADDE ÜZERİ KAPALI OTOPARKLI SATILIK 2+1 DAİRE,Portföy No: P67370662,02-13-2025,İstanbul Anadolu / Maltepe/ Fındıklı Mah.,3.600.000 ₺,95,85,5,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P67370662
SİNPAŞ CENTRAL LİFE UZMANI OĞUZ YANIK 3+1 133m2 SATILIK TAŞINMAYA HAZIR DAİRE,Portföy No: P36708550,02-13-2025,İstanbul Anadolu / Ümraniye/ Necip Fazıl Mah.,9.950.000 ₺,133,112,16-20,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P36708550
İSTANBUL'UN KALBİNDE HAYALİNİZDEKİ YAŞAM ÜSKÜDAR SELİMİYE’DE EMSALSİZ MANZARALI  SATILIK 3+1 DAİRE,Portföy No: P01664521,02-13-2025,İstanbul Anadolu / Üsküdar/ Selimiye Mah.,18.600.000 ₺,210,180,30+,3+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P01664521
Trendist Kısa Katlılarda 25m2 Teras ve 10m2 Bahçe Deck Kullanımlı Geniş 3+1,Portföy No: P61612056,02-13-2025,İstanbul Anadolu / Ataşehir/ Atatürk Mah.,22.490.000 ₺,185,145,9,3+1,Bahçe Katı,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P61612056
KAT MÜLKİYETLİ ÖNÜ AÇIK YÜKSEK ARA KAT GENİŞ KULLANIŞLI 3+1 SATILIK DAİRE,Portföy No: P22385218,02-13-2025,İstanbul Anadolu / Pendik/ Yenişehir Mah.,**** ₺,135,110,16-20,3+1,7,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P22385218
BEKLENEN YATIRIM!!KOŞUYOLU İBRAHİMAĞA CADDEYE 2.BİNA 1+1 SATILIK,Portföy No: P03212837,02-13-2025,İstanbul Anadolu / Kadıköy/ Koşuyolu Mah.,5.600.000 ₺,65,50,7,1+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P03212837
SAMANDIRA OSMANGAZİ ASANSÖRLÜ OTOPARKLI 3+1 SATILIK DAİRE,Portföy No: P78243101,02-13-2025,İstanbul Anadolu / Sancaktepe/ Osmangazi Mah.,4.150.000 ₺,110,95,10-15,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P78243101
DRAGOSTA SIFIR 2+1 BALKONLU AMERİKAN MUTFAKLI ARA KAT DAİRE,Portföy No: P43013450,02-13-2025,İstanbul Anadolu / Maltepe/ Yalı Mah.,7.950.000 ₺,70,57,1,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P43013450
DRAGOSTA SIFIR 2+1 BALKONLU AMERİKAN MUTFAKLI ARA KAT DAİRE,Portföy No: P77504268,02-13-2025,İstanbul Anadolu / Maltepe/ Yalı Mah.,7.500.000 ₺,70,57,1,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P77504268
SATILIK ÇEKMEKÖY MERKEZ MAHALLESİNDE ORMAN’NIN YANIBAŞINDA 3+2 DUBLEX DAİRE,Portföy No: P58331274,02-13-2025,İstanbul Anadolu / Çekmeköy/ Merkez Mah.,5.500.000 ₺,145,120,10-15,3+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P58331274
FENERBAHÇE'DE YENİ 3+1 SATLIK DAİRE,Portföy No: P46546602,02-13-2025,İstanbul Anadolu / Kadıköy/ Fenerbahçe Mah.,33.000.000 ₺,160,125,1,3+1,8,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P46546602
PENDİK KURTKÖY YENİŞEHİR MAH AVLUKURTKÖY SATILIK 3+1 İSKANLI BOŞ DAİRE,Portföy No: P66112215,02-13-2025,İstanbul Anadolu / Pendik/ Yenişehir Mah.,**** ₺,163,102,9,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P66112215
GÖZTEPE'DE YEŞİLLİKLER İÇİNDE SATILIK BOŞ 3+1 DAİRE,Portföy No: 4421s1061400801,02-13-2025,İstanbul Anadolu / Kadıköy/ Göztepe Mah.,10.750.000 ₺,120,95,30+,3+1,Bahçe Katı,Merkezi,Hayır,https://www.remax.com.tr/portfoy/4421s1061400801
KADIKÖY FİKİRTEPE DE 2+1 TERASLI SATILIK DAİRE,Portföy No: P34828207,02-13-2025,İstanbul Anadolu / Kadıköy/ Fikirtepe Mah.,13.750.000 ₺,190,120,6,2+1,8,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P34828207
"ATAŞEHIR GARDENYA 2 BOŞ SATILIK DAIRE 2,5 + 1 BALKONLU",Portföy No: P72440251,02-13-2025,İstanbul Anadolu / Ataşehir/ Atatürk Mah.,10.500.000 ₺,135,100,30+,2.5+1,9,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P72440251
Sinpaş Finans Şehir Palas Etabında satılık 93 m2 2+1 daire,Portföy No: P46742536,02-13-2025,İstanbul Anadolu / Ümraniye/ Finanskent Mah.,**** ₺,93,62,2,2+1,8,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P46742536
SUADİYE SAHİL 'E 3. BİNA 100 M2 BAHÇELİ 4+2 DUBLEKS ÖZEL DAİRE,Portföy No: P05241225,02-13-2025,İstanbul Anadolu / Kadıköy/ Suadiye Mah.,50.000.000 ₺,280,240,30+,4+2,Bahçe Katı,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P05241225
ÇEKMEKÖY ALEMDAĞ MH. 3+1 SATILIK DAIRE REMAX MASAL TUĞBA ÖZAKBULUT,Portföy No: P27450486,02-13-2025,İstanbul Anadolu / Çekmeköy/ Alemdağ Mah.,5.750.000 ₺,130,110,10-15,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P27450486
ASLI SAYAR'DAN ALTUNİZADE BARBAROS MAH. SIFIR BALKONLU EBEVEYNLİ KAPALI GARAJLI 3+1 SATILIK DAİRE,Portföy No: P60782778,02-13-2025,İstanbul Anadolu / Üsküdar/ Barbaros Mah.,14.325.000 ₺,103,95,1,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P60782778
ADALAR MANZARALI SATILIK DAİRE,Portföy No: P07544825,02-13-2025,İstanbul Anadolu / Kartal/ Orhantepe Mah.,13.000.000 ₺,181,120,3,3.5+1,10,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P07544825
ZİND D PARK SİTESİ SATILIK GENİŞ 2+1 DAİRE,Portföy No: P08258170,02-13-2025,İstanbul Anadolu / Çekmeköy/ Merkez Mah.,5.750.000 ₺,117,90,10-15,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P08258170
SUR YAPI ADAPARK REMAX LEYLA 2+1 115m² SATILIK ADA PARK BOŞ,Portföy No: P07586015,02-13-2025,İstanbul Anadolu / Sancaktepe/ Emek Mah.,8.000.000 ₺,115,90,10-15,2+1,3,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P07586015
ÜSKÜDAR FERAH MAHALLESİ’NDE 2+1 SATILIK SIFIR DAİRE,Portföy No: P64240530,02-13-2025,İstanbul Anadolu / Üsküdar/ Ferah Mah.,6.750.000 ₺,90,70,0,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P64240530
MALTEPE'DE GÜLSUYU METROYA KOMŞU YENİ BİNADA SATILIK 2+1 DAİRE,Portföy No: P86065306,02-13-2025,İstanbul Anadolu / Maltepe/ Gülsuyu Mah.,4.600.000 ₺,70,55,4,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P86065306
FENERBAHÇE TUNAMAN SOKAKTA DENİZ MANZARALI 3 +1,Portföy No: P86347764,02-13-2025,İstanbul Anadolu / Kadıköy/ Fenerbahçe Mah.,20.500.000 ₺,175,150,26-30,3+1,11,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P86347764
DENIZ VE ŞEHIR MANZARALI TERAS KULLANIMLI DUBLEKS,Portföy No: P74160032,02-13-2025,İstanbul Anadolu / Kadıköy/ Koşuyolu Mah.,21.000.000 ₺,170,160,3,3+2,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P74160032
KOŞUYOLU MAH. DENIZ VE ŞEHIR MANZARALI SATILIK TERASLI DUBLEKS,Portföy No: P84565773,02-13-2025,İstanbul Anadolu / Kadıköy/ Koşuyolu Mah.,21.500.000 ₺,160,140,3,5+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P84565773
KOŞUYOLU MAH. KAPANMAZ DENIZ VE ŞEHIR MANZARALI SATILIK DUBLEKS,Portföy No: P24475652,02-13-2025,İstanbul Anadolu / Kadıköy/ Koşuyolu Mah.,22.000.000 ₺,160,150,3,6+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P24475652
Emek Mahallesi'nde İlhan Varank'a Komşu Büyük ve Geniş Dubleks,Portföy No: P64426380,02-13-2025,İstanbul Anadolu / Sancaktepe/ Emek Mah.,4.390.000 ₺,185,145,10-15,4.5+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P64426380
KARTAL İST MARİNA 2+1 LEBİDERYA DENİZ MANZARALI,Portföy No: P51205533,02-13-2025,İstanbul Anadolu / Kartal/ Kordonboyu Mah.,20.000.000 ₺,225,160,10-15,2+1,13,Fancoil Ünitesi,Hayır,https://www.remax.com.tr/portfoy/P51205533
REMAX PRODAN FIRSAT!! 3+1 120m2 net BAYAR CAD. ÜZERİNDE,Portföy No: P74570484,02-13-2025,İstanbul Anadolu / Kadıköy/ 19 Mayıs Mah.,7.650.000 ₺,140,120,30+,3+1,5,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P74570484
Dora Park Sitesinde Harika Bir Ev ve Ormanlarla Çevrili Bir Yaşam Alanı Sizi Bekliyor,Portföy No: P72653857,02-13-2025,İstanbul Anadolu / Ümraniye/ Saray Mah.,10.000.000 ₺,100,90,16-20,2+1,1,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P72653857
ATAŞEHİR TRENDİST SİTESİNDE SATILIK 3+1 DAİRE,Portföy No: P04230222,02-13-2025,İstanbul Anadolu / Ataşehir/ Atatürk Mah.,13.500.000 ₺,140,105,10-15,3+1,29,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P04230222
N/A,N/A,02-13-2025,İstanbul Anadolu / Pendik / Harmandere Mah. / Akasya Port,N/A,1+0,N/A,N/A,1+0,Tüm Katlar,N/A,N/A,https://www.remax.com.tr/portfoy/P26005768
KARTAL YÜCELPARK TA 3+1 DENİZ MANZARALI FIRSAT,Portföy No: P31581401,02-13-2025,İstanbul Anadolu / Kartal/ Orhantepe Mah.,11.250.000 ₺,128,98,2,3+1,6,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P31581401
BOSTANCI MERKEZDE BOŞ 4+1 BALKONLU GÜVENLİKLİ 8 YILLIK BİNADA,Portföy No: P07351337,02-13-2025,İstanbul Anadolu / Kadıköy/ Bostancı Mah.,21.000.000 ₺,190,135,10-15,4+1,7,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P07351337
"Sevda’dan, Erkılınç’tan Dragos Versus Sitesi’ndeki 2+1 deniz manzaralı dubleks daire.",Portföy No: P26601086,02-13-2025,İstanbul Anadolu / Kartal/ Kordonboyu Mah.,16.980.000 ₺,197,128,5,2+1,25,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P26601086
SEVDA ERKILINÇ’TAN DRAGOS VERSUS SİTESİ DENİZ MANZARALI DUBLEX,Portföy No: P02624717,02-13-2025,İstanbul Anadolu / Kartal/ Kordonboyu Mah.,23.050.000 ₺,290,196,30+,3+1,26,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P02624717
Ümraniye çarşı içinde sakin sokakta 2+2 dubleks daire,Portföy No: P44637550,02-13-2025,İstanbul Anadolu / Ümraniye/ Namık Kemal Mah.,4.200.000 ₺,120,90,10-15,2+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P44637550
FINDIKLI MAHALLESİNDE KÖŞE BAŞI İKİ AYRI DAİRE KULLANIMLI 3+2 SATILIK DUBLEKS DAİRE,Portföy No: P41016736,02-13-2025,İstanbul Anadolu / Maltepe/ Fındıklı Mah.,4.750.000 ₺,140,130,10-15,3+2,4,Doğalgaz (Kombi),Evet,https://www.remax.com.tr/portfoy/P41016736
ATAŞEHİR NECMETTIN ERBAKAN CADDESİNDE SATILIK 3+1 DAİRE,Portföy No: P76845483,02-13-2025,İstanbul Anadolu / Ataşehir/ İçerenköy Mah.,5.000.000 ₺,110,90,30+,3+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P76845483
İlhan Varank Hastanesi'ne Komşu Harika Lokasyonda Çok Geniş 3+1,Portföy No: P74660065,02-13-2025,İstanbul Anadolu / Sancaktepe/ Emek Mah.,3.450.000 ₺,150,135,10-15,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P74660065
Kosuyolu DISBANK SITESI nde 3+1,Portföy No: P80647401,02-13-2025,İstanbul Anadolu / Kadıköy/ Koşuyolu Mah.,7.000.000 ₺,110,95,26-30,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P80647401
KARTAL ATALAR'DA MARMARAY'A 400M SAHİLE 1KM SATILIK TERASLI DUBLEKS DAİRE,Portföy No: P51241250,02-13-2025,İstanbul Anadolu / Kartal/ Atalar Mah.,5.980.000 ₺,110,85,1,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P51241250
KARTAL PETROL-İŞ'TE DENİZ MANZARALI SATILIK 4+1 DUBLEX DAİRE,Portföy No: P73027003,02-13-2025,İstanbul Anadolu / Kartal/ Petrol iş Mah.,11.200.000 ₺,180,170,5,4+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P73027003
