Advertisement,Advertisement No,Advertisement Date,City,District,Neighborhood,Price (try),Gross Area (m2),Net Area (m2),Building Age,Room,Floor,Heating,Furnished,Advertisement Link
Maltepe Bağlarbaşı Mahallesi Sahil Lokasyonunda Satılık 3+2 Dublex Daire,P81302063,2025-02-13,İstanbul,Maltepe, Bağlarbaşı,9400000,168,136,10-15,3+2,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P81302063
KADIKÖY MODA EN GÜZEL NOKTADA YENİLENMİŞ HARİKA 3+1 DAİRE,P20387677,2025-02-13,İstanbul,Kadıköy, Caferağa,24500000,145,125,30+,3+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P20387677
Erenköy'de 3 Oda 1 Salon/140m²  - Ebeveyn Banyolu -3.Kat \1989 Yapımı,P40514550,2025-02-13,İstanbul,Kadıköy, Erenköy,9500000,140,110,30+,3+1,3,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P40514550
1225591670 KARTAL TEKNİK YAPI UPCITY FLATS SİTESİ 2+1 SATILIK DAİRE,P12230328,2025-02-13,İstanbul,Kartal, Uğur Mumcu,6250000,90,80,10-15,2+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P12230328
KOZYATAĞI BELEDIYE BLOKLARINDA IÇI YAPILI SATILIK 2+1,P24881132,2025-02-13,İstanbul,Kadıköy, Kozyatağı,5150000,85,65,30+,2+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P24881132
Göztepe Merdivenköy Satılık Sıfır 3+1 Daire,P13711083,2025-02-13,İstanbul,Kadıköy, Merdivenköy,13450000,100,85,3,3+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P13711083
ŞAŞKINBAKKAL'DA CADDE'YE CEPHELİ VE 2. BİNADA İŞ YERİNE UYGUN 3+1 DAİRE,P78070047,2025-02-13,İstanbul,Kadıköy, Suadiye,24750000,130,100,5,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P78070047
AVŞAR SOKAKTA ADALAR MANZARALI YENI 3+1 SATILIK,P46255445,2025-02-13,İstanbul,Kadıköy, Kozyatağı,14900000,125,95,5,3+1,11,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P46255445
Vatandaşlığa uygun Kadıköy Acıbadem Yıldızbakkal dubleks daire,P24825831,2025-02-13,İstanbul,Kadıköy, Acıbadem,14750000,177,158,5,4+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P24825831
Remax Anı 'Dan Tantavi 'De Lüks Satılık Dublex Daire,P25362040,2025-02-13,İstanbul,Ümraniye, Tantavi,17750000,290,260,4,4+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P25362040
KARTAL UĞUR MUMCU MH UPCITY FLATS SİTESİ 2+1 SATILIK DAİRE,P85275087,2025-02-13,İstanbul,Kartal, Uğur Mumcu,6150000,92,71,10-15,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P85275087
Deluxia Dragos'da Modern ve Ferah 3+1 Daire Satılık,P40103017,2025-02-13,İstanbul,Maltepe, Cevizli,9500000,144,108,10-15,3+1,4,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P40103017
MALTEPE  YALI MAH.  DRAGOS KONAKLARI SİTESİNDE  4+1  BAHÇE KATI  LÜKS DAİRE,P61560663,2025-02-13,İstanbul,Maltepe, Yalı,29900000,235,187,10-15,4+1,Bahçe Katı,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P61560663
Referans Kartal Towers 2+1 Odalarda Özel Dolaplı Sat. Daire Sağlık & Konfor & Huzur Arayanlara...,P41118402,2025-02-13,İstanbul,Kartal, Atalar,7750000,122,80,6,2+1,11,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P41118402
KALAMIŞIN KALBİNDE 4+1 EŞSİZ YALI DAİRESİ,P04112456,2025-02-13,İstanbul,Kadıköy, Fenerbahçe,35000000,220,200,30+,4+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P04112456
SALACAK'DA KOZA MESKEN PROJESİNDE EŞSİZ SATILIK DAİRE - HESNA YILMAZ,P18450806,2025-02-13,İstanbul,Üsküdar, Aziz Mahmut Hüdayi,42000000,130,100,4,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P18450806
KUZGUNCUK'DA İSKANLI BOĞAZ MANZARALI KİRACISIZ SATILIK 4+1 DAİRE,P58427241,2025-02-13,İstanbul,Üsküdar, Kuzguncuk,18000000,170,140,30+,4+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P58427241
KARTAL'DA ADALAR VE DENİZ MANZARALI TERASLI 6+2 SATILIK DUBLEKS,P16728558,2025-02-13,İstanbul,Kartal, Çavuşoğlu,15950000,300,230,21-25,6+2,7,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P16728558
Özgürlük Parkı na 250m mesafe bahçe kullanımlı 2 oda salon,P28744717,2025-02-13,İstanbul,Kadıköy, Göztepe,4750000,120,85,30+,2+1,Bahçe Katı,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P28744717
KADIKÖY ZİVERBEY MİNİBÜS CADDESİNE YAKIN 3+1 SATILIK DAİRE,P45300270,2025-02-13,İstanbul,Kadıköy, Eğitim,5450000,110,100,30+,3+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P45300270
KADIKÖY FİKİRTEPE DE 2+1 TERASLI SATILIK DAİRE,P67444815,2025-02-13,İstanbul,Kadıköy, Fikirtepe,13750000,190,120,6,2+1,8,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P67444815
Deniz ve Adalar Manzaralı Genç Binada 4+1  Satılık Dubleks,P50672840,2025-02-13,İstanbul,Maltepe, Cevizli,8300000,140,127,9,4+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P50672840
E-5 MALTEPE PAMİLİA SİTESİ ARA KAT SATILIK 2+1 DAİRE,P77356024,2025-02-13,İstanbul,Maltepe, Aydınevler,3600000,85,75,2,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P77356024
Ümraniye İstiklal Mahallesi Butik Site İçi Satılık 2 + 1 Daire,P32074513,2025-02-13,İstanbul,Ümraniye, İstiklal,4950000,85,65,0,2+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P32074513
Sancaktepe Abdurrahmangazi Mahallesi Satılık 2+1 Ara Kat Daire,P02056723,2025-02-13,İstanbul,Sancaktepe, Abdurrahmangazi,2950000,65,56,10-15,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P02056723
ALTUNİZADE'DE METROYA YÜRÜME MESAFESİNDE-BOŞ- 3+1 SATILIK DAİRE,P40110313,2025-02-13,İstanbul,Üsküdar, Barbaros,6000000,125,95,30+,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P40110313
TAŞDELEN TUNA KONAKLARINDA ARA KAT SATILIK 3+1 LÜKS DAİRE,P42748684,2025-02-13,İstanbul,Çekmeköy, Sultançiftliği,9300000,180,135,10-15,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P42748684
10 yılda amorti edecek sıfır binada 2+1 dubleks,P51777033,2025-02-13,İstanbul,Kadıköy, Osmanağa,11900000,180,140,1,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P51777033
ATAŞEHİR KÜÇÜKBAKKALKÖY ARA KAT KAPALI MUTFAK SATILIK 3+1 DAİRE,P25181821,2025-02-13,İstanbul,Ataşehir, Küçükbakkalköy,5495000,120,92,16-20,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P25181821
MALTEPE BAĞDAT CADDESİ ARA KAT SATILIK 3+1 FIRSAT DAİRE,P05332738,2025-02-13,İstanbul,Maltepe, Cevizli,5345000,117,90,16-20,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P05332738
"BOŞ, KADIKÖY MERDİVENKÖY KAT MÜLKİYETLİ 8. KAT SATILIK 3+1 DAİRE",P84636453,2025-02-13,İstanbul,Kadıköy, Merdivenköy,8400000,98,77,5,3+1,8,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P84636453
BAĞDAT CADDESİ 'NİN EN GÜZEL DUBLEKSİ ŞİMDİ SATIŞTA,P38318555,2025-02-13,İstanbul,Kadıköy, Caddebostan,38500000,260,195,8,4+2,9,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P38318555
FINDIKLI MERKEZ CADDE ÜZERİ KAPALI OTOPARKLI SATILIK 2+1 DAİRE,P67370662,2025-02-13,İstanbul,Maltepe, Fındıklı,3600000,95,85,5,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P67370662
SİNPAŞ CENTRAL LİFE UZMANI OĞUZ YANIK 3+1 133m2 SATILIK TAŞINMAYA HAZIR DAİRE,P36708550,2025-02-13,İstanbul,Ümraniye, Necip Fazıl,9950000,133,112,16-20,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P36708550
İSTANBUL'UN KALBİNDE HAYALİNİZDEKİ YAŞAM ÜSKÜDAR SELİMİYE’DE EMSALSİZ MANZARALI  SATILIK 3+1 DAİRE,P01664521,2025-02-13,İstanbul,Üsküdar, Selimiye,18600000,210,180,30+,3+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P01664521
Trendist Kısa Katlılarda 25m2 Teras ve 10m2 Bahçe Deck Kullanımlı Geniş 3+1,P61612056,2025-02-13,İstanbul,Ataşehir, Atatürk,22490000,185,145,9,3+1,Bahçe Katı,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P61612056
BEKLENEN YATIRIM!!KOŞUYOLU İBRAHİMAĞA CADDEYE 2.BİNA 1+1 SATILIK,P03212837,2025-02-13,İstanbul,Kadıköy, Koşuyolu,5600000,65,50,7,1+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P03212837
SAMANDIRA OSMANGAZİ ASANSÖRLÜ OTOPARKLI 3+1 SATILIK DAİRE,P78243101,2025-02-13,İstanbul,Sancaktepe, Osmangazi,4150000,110,95,10-15,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P78243101
DRAGOSTA SIFIR 2+1 BALKONLU AMERİKAN MUTFAKLI ARA KAT DAİRE,P43013450,2025-02-13,İstanbul,Maltepe, Yalı,7950000,70,57,1,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P43013450
DRAGOSTA SIFIR 2+1 BALKONLU AMERİKAN MUTFAKLI ARA KAT DAİRE,P77504268,2025-02-13,İstanbul,Maltepe, Yalı,7500000,70,57,1,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P77504268
SATILIK ÇEKMEKÖY MERKEZ MAHALLESİNDE ORMAN’NIN YANIBAŞINDA 3+2 DUBLEX DAİRE,P58331274,2025-02-13,İstanbul,Çekmeköy, Merkez,5500000,145,120,10-15,3+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P58331274
FENERBAHÇE'DE YENİ 3+1 SATLIK DAİRE,P46546602,2025-02-13,İstanbul,Kadıköy, Fenerbahçe,33000000,160,125,1,3+1,8,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P46546602
GÖZTEPE'DE YEŞİLLİKLER İÇİNDE SATILIK BOŞ 3+1 DAİRE,4421s1061400801,2025-02-13,İstanbul,Kadıköy, Göztepe,10750000,120,95,30+,3+1,Bahçe Katı,Merkezi,Hayır,https://www.remax.com.tr/portfoy/4421s1061400801
KADIKÖY FİKİRTEPE DE 2+1 TERASLI SATILIK DAİRE,P34828207,2025-02-13,İstanbul,Kadıköy, Fikirtepe,13750000,190,120,6,2+1,8,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P34828207
"ATAŞEHIR GARDENYA 2 BOŞ SATILIK DAIRE 2,5 + 1 BALKONLU",P72440251,2025-02-13,İstanbul,Ataşehir, Atatürk,10500000,135,100,30+,2.5+1,9,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P72440251
SUADİYE SAHİL 'E 3. BİNA 100 M2 BAHÇELİ 4+2 DUBLEKS ÖZEL DAİRE,P05241225,2025-02-13,İstanbul,Kadıköy, Suadiye,50000000,280,240,30+,4+2,Bahçe Katı,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P05241225
ÇEKMEKÖY ALEMDAĞ MH. 3+1 SATILIK DAIRE REMAX MASAL TUĞBA ÖZAKBULUT,P27450486,2025-02-13,İstanbul,Çekmeköy, Alemdağ,5750000,130,110,10-15,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P27450486
ASLI SAYAR'DAN ALTUNİZADE BARBAROS MAH. SIFIR BALKONLU EBEVEYNLİ KAPALI GARAJLI 3+1 SATILIK DAİRE,P60782778,2025-02-13,İstanbul,Üsküdar, Barbaros,14325000,103,95,1,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P60782778
ADALAR MANZARALI SATILIK DAİRE,P07544825,2025-02-13,İstanbul,Kartal, Orhantepe,13000000,181,120,3,3.5+1,10,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P07544825
ZİND D PARK SİTESİ SATILIK GENİŞ 2+1 DAİRE,P08258170,2025-02-13,İstanbul,Çekmeköy, Merkez,5750000,117,90,10-15,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P08258170
SUR YAPI ADAPARK REMAX LEYLA 2+1 115m² SATILIK ADA PARK BOŞ,P07586015,2025-02-13,İstanbul,Sancaktepe, Emek,8000000,115,90,10-15,2+1,3,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P07586015
ÜSKÜDAR FERAH MAHALLESİ’NDE 2+1 SATILIK SIFIR DAİRE,P64240530,2025-02-13,İstanbul,Üsküdar, Ferah,6750000,90,70,0,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P64240530
MALTEPE'DE GÜLSUYU METROYA KOMŞU YENİ BİNADA SATILIK 2+1 DAİRE,P86065306,2025-02-13,İstanbul,Maltepe, Gülsuyu,4600000,70,55,4,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P86065306
FENERBAHÇE TUNAMAN SOKAKTA DENİZ MANZARALI 3 +1,P86347764,2025-02-13,İstanbul,Kadıköy, Fenerbahçe,20500000,175,150,26-30,3+1,11,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P86347764
DENIZ VE ŞEHIR MANZARALI TERAS KULLANIMLI DUBLEKS,P74160032,2025-02-13,İstanbul,Kadıköy, Koşuyolu,21000000,170,160,3,3+2,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P74160032
KOŞUYOLU MAH. DENIZ VE ŞEHIR MANZARALI SATILIK TERASLI DUBLEKS,P84565773,2025-02-13,İstanbul,Kadıköy, Koşuyolu,21500000,160,140,3,5+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P84565773
KOŞUYOLU MAH. KAPANMAZ DENIZ VE ŞEHIR MANZARALI SATILIK DUBLEKS,P24475652,2025-02-13,İstanbul,Kadıköy, Koşuyolu,22000000,160,150,3,6+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P24475652
Emek Mahallesi'nde İlhan Varank'a Komşu Büyük ve Geniş Dubleks,P64426380,2025-02-13,İstanbul,Sancaktepe, Emek,4390000,185,145,10-15,4.5+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P64426380
KARTAL İST MARİNA 2+1 LEBİDERYA DENİZ MANZARALI,P51205533,2025-02-13,İstanbul,Kartal, Kordonboyu,20000000,225,160,10-15,2+1,13,Fancoil Ünitesi,Hayır,https://www.remax.com.tr/portfoy/P51205533
REMAX PRODAN FIRSAT!! 3+1 120m2 net BAYAR CAD. ÜZERİNDE,P74570484,2025-02-13,İstanbul,Kadıköy, 19 Mayıs,7650000,140,120,30+,3+1,5,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P74570484
Dora Park Sitesinde Harika Bir Ev ve Ormanlarla Çevrili Bir Yaşam Alanı Sizi Bekliyor,P72653857,2025-02-13,İstanbul,Ümraniye, Saray,10000000,100,90,16-20,2+1,1,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P72653857
ATAŞEHİR TRENDİST SİTESİNDE SATILIK 3+1 DAİRE,P04230222,2025-02-13,İstanbul,Ataşehir, Atatürk,13500000,140,105,10-15,3+1,29,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P04230222
KARTAL YÜCELPARK TA 3+1 DENİZ MANZARALI FIRSAT,P31581401,2025-02-13,İstanbul,Kartal, Orhantepe,11250000,128,98,2,3+1,6,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P31581401
BOSTANCI MERKEZDE BOŞ 4+1 BALKONLU GÜVENLİKLİ 8 YILLIK BİNADA,P07351337,2025-02-13,İstanbul,Kadıköy, Bostancı,21000000,190,135,10-15,4+1,7,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P07351337
"Sevda’dan, Erkılınç’tan Dragos Versus Sitesi’ndeki 2+1 deniz manzaralı dubleks daire.",P26601086,2025-02-13,İstanbul,Kartal, Kordonboyu,16980000,197,128,5,2+1,25,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P26601086
SEVDA ERKILINÇ’TAN DRAGOS VERSUS SİTESİ DENİZ MANZARALI DUBLEX,P02624717,2025-02-13,İstanbul,Kartal, Kordonboyu,23050000,290,196,30+,3+1,26,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P02624717
Ümraniye çarşı içinde sakin sokakta 2+2 dubleks daire,P44637550,2025-02-13,İstanbul,Ümraniye, Namık Kemal,4200000,120,90,10-15,,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P44637550
FINDIKLI MAHALLESİNDE KÖŞE BAŞI İKİ AYRI DAİRE KULLANIMLI 3+2 SATILIK DUBLEKS DAİRE,P41016736,2025-02-13,İstanbul,Maltepe, Fındıklı,4750000,140,130,10-15,3+2,4,Doğalgaz (Kombi),Evet,https://www.remax.com.tr/portfoy/P41016736
ATAŞEHİR NECMETTIN ERBAKAN CADDESİNDE SATILIK 3+1 DAİRE,P76845483,2025-02-13,İstanbul,Ataşehir, İçerenköy,5000000,110,90,30+,3+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P76845483
İlhan Varank Hastanesi'ne Komşu Harika Lokasyonda Çok Geniş 3+1,P74660065,2025-02-13,İstanbul,Sancaktepe, Emek,3450000,150,135,10-15,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P74660065
Kosuyolu DISBANK SITESI nde 3+1,P80647401,2025-02-13,İstanbul,Kadıköy, Koşuyolu,7000000,110,95,26-30,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P80647401
KARTAL ATALAR'DA MARMARAY'A 400M SAHİLE 1KM SATILIK TERASLI DUBLEKS DAİRE,P51241250,2025-02-13,İstanbul,Kartal, Atalar,5980000,110,85,1,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P51241250
KARTAL PETROL-İŞ'TE DENİZ MANZARALI SATILIK 4+1 DUBLEX DAİRE,P73027003,2025-02-13,İstanbul,Kartal, Petrol iş,11200000,180,170,5,4+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P73027003
REMAX ABC DEN YAKACIK LILIUM GARDEN PROJESİNDE 3+1 SATILIK DAİRE,P80405472,2025-02-13,İstanbul,Kartal, Yakacık Yeni,7300000,117,90,1,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P80405472
ŞAHİNLİ SOKAKTA 157M2 NET ALAN AYRI DAİRE KULLANIMLI 5+2 DUBLEKS,P06836730,2025-02-13,İstanbul,Maltepe, Fındıklı,6499000,180,160,10-15,5+2,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P06836730
ATAŞEHİR UPHILL COURT A ADA DEKORASYONLU 4+1 SATILIK DAİRE,P71586347,2025-02-13,İstanbul,Ataşehir, Barbaros,22500000,187,147,10-15,4+1,11,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P71586347
ERENKÖY KAPTAN ARİF SOKAK'DA 95 M2 NET 3+1 SATILIK DAİRE,P65061035,2025-02-13,İstanbul,Kadıköy, Erenköy,12200000,125,95,7,3+1,8,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P65061035
KOZYATAĞI MAH. MARMARA CADDESİNDE SATILIK ARA KAT DAİRE,P46686777,2025-02-13,İstanbul,Kadıköy, Kozyatağı,11250000,120,90,7,3+1,3,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P46686777
BAĞDAT CADDESİNDE SATILIK DENİZ MANZARALI 187 M2 3+1 DAİRE,P10326772,2025-02-13,İstanbul,Kadıköy, Feneryolu,37500000,187,147,7,3+1,10,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P10326772
Bağdat Caddesinde 350 m2 Deniz Manzaralı Sıfır Dubleks Daire,P24571733,2025-02-13,İstanbul,Kadıköy, Feneryolu,55500000,350,279,6,5+2,En Üst Kat,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P24571733
Kavacık Merkezde 3+1 Satılık Dubleks Daire,P50003072,2025-02-13,İstanbul,Beykoz, Kavacık,7250000,150,135,21-25,3+1,8,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P50003072
"KOCAYOL CADDESİ'NDE YATIRIMLIK ""SIFIR"" 3+1 SATILIK DAİRE",P51368211,2025-02-13,İstanbul,Kadıköy, Bostancı,13500000,120,96,1,3+1,1,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P51368211
"SUADİYE DE BAĞDAT CADDESİNE 3. BİNADA , ÇOK FERAH 3+1",P43128875,2025-02-13,İstanbul,Kadıköy, Suadiye,21000000,120,100,6,3+1,9,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P43128875
ÜSKÜDAR SULTANTEPE'DE  3+1 YATIRIMLIK DAİRE,P80705826,2025-02-13,İstanbul,Üsküdar, Sultantepe,4800000,115,90,30+,3.5+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P80705826
GENÇ BİNADA ÖNÜ AÇIK MANZARALI KULLANIŞLI 3+2 DUBLEKS DAİRE,P07743131,2025-02-13,İstanbul,Maltepe, Fındıklı,4950000,145,120,10-15,3+2,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P07743131
Grena Suadiye Sitesi Satılık 5+1 Çatı Dubleksi Daire,P43863562,2025-02-13,İstanbul,Kadıköy, Bostancı,25500000,245,188,5,5+1,11,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P43863562
BOŞ - YATIRIMA UYGUN - 2+1 -GENİŞ ÖNÜ AÇIK - DAPHNE GARDEN,P73531002,2025-02-13,İstanbul,Çekmeköy, Aydınlar,6050000,124,92,8,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P73531002
SIFIR BİNADA MİMARİ TASARIMLI AYRI MUTFAKLI TERS DUBLKES FIRSATI,P27236076,2025-02-13,İstanbul,Maltepe, Cevizli,4550000,80,60,1,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P27236076
ÇEKMEKÖY MERKEZ MAHALLESİNDE SATILIK 2+1 DAİRE,P08236752,2025-02-13,İstanbul,Çekmeköy, Merkez,3700000,90,77,9,2+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P08236752
Safir Evleri Sitesi Ataşehir de satılık daire,P16841424,2025-02-13,İstanbul,Ataşehir, Yenişehir,9500000,160,100,21-25,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P16841424
"ZÜMRÜTEVLERDE, BAHÇELİ  KATTA TEK  115 NET 3+2,    2 BANYOLU , KREDİYE UYGUN DAİRE",P25436055,2025-02-13,İstanbul,Maltepe, Zümrütevler,6500000,135,115,10-15,3+2,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P25436055
